SSC_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SSC40851,89,38,62,54,42,46,39,87,9,470
SSC40852,3,4,0,0,0,0,0,0,0,9
SSC40853,4,0,0,0,0,0,0,6,0,13
SSC40854,27,5,5,4,5,0,9,5,0,58
SSC40855,4,0,0,0,0,0,0,0,0,9
SSC40856,3,0,0,0,0,3,0,0,3,12
SSC40857,9,0,0,0,0,3,5,6,0,24
SSC40858,15,8,4,0,0,0,0,4,0,32
SSC40859,9,0,5,7,0,0,0,0,0,24
SSC40860,6,0,0,0,0,0,0,3,0,4
SSC40861,0,0,0,0,0,0,0,0,0,4
SSC40862,77,97,78,80,67,30,23,59,3,526
SSC40863,3,0,0,0,3,0,0,0,0,7
SSC40864,43,32,29,18,31,18,11,18,0,192
SSC40865,41,31,61,48,35,20,32,56,3,328
SSC40866,268,674,267,248,277,204,64,173,33,2207
SSC40867,0,3,0,0,4,0,0,0,0,7
SSC40868,18,3,3,0,4,0,0,5,0,37
