SSC_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC14223,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,8,3,13,11,3,6,9,0,49
SSC14224,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,11,8,8,11,10,3,16,0,69
SSC14225,0,0,0,0,0,3,0,3,0,10,0,4,3,3,5,0,0,0,13,29,22,52,42,53,78,65,31,84,27,456
SSC14226,0,11,12,6,6,20,4,10,0,74,7,12,6,3,4,18,4,15,16,88,98,364,296,311,401,433,190,373,31,2508
SSC14227,0,4,10,7,24,23,14,13,3,95,7,19,11,11,29,65,16,25,32,209,125,249,269,299,880,1209,436,622,57,4148
SSC14228,3,14,23,17,41,31,10,16,5,153,6,13,26,17,84,53,10,19,85,315,137,445,563,456,1452,1275,367,431,146,5272
SSC14229,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,7,4,3,4,0,4,0,39
SSC14230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC14231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,3,0,7,0,25
SSC14232,0,3,0,0,6,12,0,10,0,32,0,3,3,3,0,10,0,3,7,33,18,51,47,57,63,122,27,88,9,486
SSC14233,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,17,43,34,30,26,43,16,42,8,266
SSC14234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC14235,0,8,0,8,18,25,6,12,0,72,0,16,6,9,23,24,6,12,24,130,56,159,135,179,485,380,179,208,35,1816
SSC14236,0,3,5,8,15,18,7,9,0,64,3,7,4,9,29,20,9,21,16,108,48,173,170,192,416,401,189,265,34,1889
SSC14237,3,5,9,3,18,16,5,3,0,59,0,3,3,3,17,24,4,16,11,79,52,152,137,177,376,380,184,279,22,1743
SSC14238,0,3,0,3,3,3,0,0,0,18,3,0,4,0,6,3,0,3,11,32,22,54,47,70,104,55,35,61,15,466
SSC14239,0,10,9,3,16,6,3,8,0,51,0,12,3,4,11,6,3,5,13,61,63,204,160,192,302,264,157,206,22,1573
SSC14240,0,9,3,4,8,12,0,4,0,42,0,7,8,3,10,0,0,3,15,46,35,149,93,158,192,143,67,138,27,999
SSC14241,0,6,0,5,15,5,4,13,0,49,6,3,0,3,18,3,0,9,17,63,69,172,134,165,355,250,129,183,40,1496
SSC14242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,13
SSC14243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,3,6,4,9,0,33
SSC14244,0,0,3,0,3,3,3,0,0,20,0,0,0,0,8,3,7,0,7,28,24,53,37,63,125,111,40,66,10,527
SSC14245,0,3,0,4,0,3,3,0,0,10,0,0,3,0,0,0,0,0,0,6,9,28,29,42,54,40,21,36,0,261
SSC14246,3,22,16,13,34,40,13,15,0,163,11,26,20,17,47,43,17,24,48,249,122,485,425,470,1098,1100,397,583,113,4796
SSC14247,4,7,6,4,12,6,3,10,0,59,4,9,3,4,12,5,3,4,21,57,60,170,169,214,300,134,92,116,37,1288
SSC14248,0,0,0,3,4,0,12,3,0,28,0,0,0,0,6,3,0,0,8,19,18,85,62,69,132,90,82,63,21,629
SSC14249,3,41,26,36,37,39,19,40,3,238,3,36,22,28,43,89,23,53,54,354,199,1042,843,780,1255,1797,779,1517,120,8325
SSC14250,0,15,7,4,10,3,9,7,0,61,3,4,8,8,10,35,11,19,14,117,84,362,266,237,303,521,251,503,32,2540
SSC14251,7,24,30,24,46,46,15,30,0,230,3,25,33,23,66,65,16,34,68,341,184,654,701,606,1601,1649,626,749,122,6898
SSC14252,0,9,6,6,19,20,5,12,3,92,3,7,3,5,12,10,3,8,27,82,45,218,178,226,408,330,147,197,48,1801
