SA2_MAINCODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
108021158,3,11,4,4,14,10,13,3,0,70,3,7,3,9,11,4,0,8,28,73,84,278,232,292,333,215,121,233,53,1833
108021159,3,18,22,11,22,18,7,10,0,106,3,13,11,10,12,5,0,11,22,84,122,397,419,424,432,338,167,417,68,2793
108021160,3,10,8,4,11,12,4,8,0,63,9,7,3,3,8,3,0,8,15,57,87,221,184,214,277,247,110,196,45,1588
108031161,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,7,11,17,35,25,23,26,40,21,30,9,225
108041162,5,34,34,42,33,44,13,32,0,235,17,35,18,14,19,24,13,20,53,202,229,746,685,815,932,863,402,709,115,5492
108041163,6,81,37,48,84,63,40,60,5,433,9,43,26,30,28,35,24,29,69,294,381,1568,1168,1653,2174,1948,947,1503,169,11502
108041164,4,37,26,24,54,32,18,44,0,245,3,28,12,22,33,21,11,25,51,207,219,810,648,870,1222,981,483,777,117,6123
108041165,6,12,12,8,13,23,10,15,0,99,3,12,4,10,6,22,3,14,15,98,94,276,257,286,373,355,156,427,67,2295
108041166,9,22,15,23,50,45,22,27,4,222,7,24,8,10,31,18,13,21,44,172,202,522,427,593,837,643,332,611,77,4242
108051167,0,3,7,7,12,8,9,9,0,56,0,3,9,12,14,11,7,8,22,76,79,266,200,248,270,245,124,330,47,1815
108051168,3,16,22,13,20,18,12,10,3,126,11,11,11,3,22,14,3,11,33,114,185,550,525,528,687,608,260,465,68,3874
108051169,3,29,36,24,70,69,31,36,7,305,13,33,12,34,42,29,19,14,65,272,299,910,714,999,1342,965,495,753,154,6628
108051170,0,21,15,16,27,31,11,20,3,140,13,15,19,8,13,18,9,19,61,175,209,613,555,617,642,603,271,662,121,4294
108051171,3,11,3,8,22,22,13,9,0,85,4,4,4,3,11,12,3,7,34,73,126,195,236,266,362,287,153,190,53,1868
109011172,3,28,39,34,46,49,34,49,4,274,3,22,13,13,35,43,19,28,38,220,246,891,729,900,1398,1303,754,1099,106,7429
109011173,3,19,29,25,34,32,22,38,0,200,9,16,13,12,26,24,10,23,30,166,168,497,453,569,847,698,434,508,65,4233
109011174,3,27,16,21,30,22,20,23,0,160,3,22,14,10,31,26,13,18,26,158,178,563,495,595,852,778,487,661,78,4676
109011175,8,18,22,15,39,41,24,35,3,200,15,26,23,20,19,22,15,32,38,208,232,666,532,631,728,824,441,1112,114,5282
109011176,11,37,30,26,66,63,17,28,6,278,9,27,14,27,48,34,4,19,66,255,220,710,596,814,1169,985,534,655,130,5809
109021177,4,0,3,0,3,5,6,17,0,37,0,9,7,5,11,16,4,5,22,75,55,134,110,149,202,206,94,322,40,1310
109021178,4,12,5,10,16,17,8,13,4,84,5,12,13,12,21,17,5,13,28,120,95,293,227,281,422,376,197,403,83,2377
109021179,3,0,3,4,3,14,4,8,0,34,3,7,4,5,19,9,0,6,27,85,56,135,134,176,230,261,108,456,56,1610
109031180,7,8,10,14,11,9,12,18,0,91,5,9,8,4,10,18,3,11,28,102,128,247,234,274,330,451,194,292,60,2211
109031181,7,10,10,11,26,12,11,19,3,99,3,14,4,0,11,21,5,15,34,109,131,317,261,301,412,477,210,573,62,2747
109031182,3,10,5,17,18,25,23,17,3,128,4,15,9,17,19,17,10,5,19,119,121,369,299,404,632,551,254,406,53,3092
109031183,3,10,6,3,13,6,3,6,6,59,12,5,11,12,10,17,7,17,27,106,132,341,266,318,345,451,240,864,83,3052
109031184,3,13,13,10,10,23,3,9,0,84,0,9,10,6,21,6,8,10,27,97,106,287,252,259,443,405,229,404,51,2441
109031185,3,24,11,13,29,18,12,45,0,163,14,18,7,11,22,24,11,9,49,170,194,458,368,459,523,590,310,819,105,3827
110011186,12,43,27,27,71,38,42,47,8,318,12,22,13,19,37,36,21,32,60,240,410,1426,978,1165,2093,1344,761,1281,186,9636
110011187,0,11,5,4,12,15,8,9,0,63,7,15,6,13,4,3,3,9,10,77,62,228,203,218,327,305,169,500,41,2043
110011188,3,10,8,5,10,11,7,10,0,85,4,12,9,7,17,10,6,9,26,97,98,330,295,350,529,398,189,491,53,2739
110011189,0,8,0,3,4,6,9,4,0,40,0,3,3,4,4,7,3,14,12,49,47,155,128,188,163,227,129,413,28,1467
110021190,4,18,20,9,23,31,15,23,5,144,5,19,17,13,23,15,8,15,36,157,135,405,363,393,563,449,228,607,87,3224
110021191,3,17,16,19,52,31,15,30,4,190,15,19,13,10,34,24,5,11,54,182,173,520,436,643,1033,669,366,573,124,4536
