ASGS_Structure,Census_Code_2016,AGSS_Code_2016,Census_Name_2016,Area sqkm
SA2,103031075,103031075,Wollangambe - Wollemi,2448.7276
SA2,103041076,103041076,Blayney,1642.6748
SA2,103041077,103041077,Orange,45.2499
SA2,103041078,103041078,Orange - North,99.5118
SA2,103041079,103041079,Orange Region,4480.0957
SA2,104011080,104011080,Grafton,106.2537
SA2,104011081,104011081,Grafton Region,8445.8909
SA2,104011082,104011082,Maclean - Yamba - Iluka,711.0493
SA2,104021083,104021083,Bellingen,1001.0481
SA2,104021084,104021084,Coffs Harbour - North,25.6688
SA2,104021085,104021085,Coffs Harbour - South,33.6996
SA2,104021086,104021086,Coramba - Nana Glen - Bucca,363.909
SA2,104021087,104021087,Dorrigo,1987.6714
SA2,104021088,104021088,Korora - Emerald Beach,57.6881
SA2,104021089,104021089,Sawtell - Boambee,118.2251
SA2,104021090,104021090,Urunga,108.4124
SA2,104021091,104021091,Woolgoolga - Arrawarra,270.2414
SA2,105011092,105011092,Bourke - Brewarrina,56843.6928
SA2,105011093,105011093,Cobar,45551.3981
