SA2_MAINCODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
105031103,0,3,0,30,4,0,0,0,0,0,0,0,0,6,31,46,4,0,0,7,0,0,0,0,0,3,0,14,187,23,9,97,8,68,3,45,15,153,42,647
105031104,0,0,0,22,0,0,0,0,0,0,0,0,0,4,20,30,0,0,0,0,0,0,0,0,0,6,10,22,133,20,8,75,4,43,5,28,6,164,35,531
105031105,0,0,0,13,4,0,0,3,0,3,0,0,0,5,41,63,0,0,3,0,0,3,0,0,0,7,7,25,166,27,8,95,3,70,5,47,5,212,48,691
105031106,0,0,0,18,6,0,0,0,0,7,0,0,0,3,50,65,0,0,0,0,0,0,0,0,0,16,12,31,156,37,6,94,7,69,4,53,16,312,60,824
106011107,0,3,0,72,0,0,0,0,0,0,0,6,0,5,61,72,0,0,0,0,0,0,0,0,0,3,4,11,230,51,13,150,23,114,10,82,8,311,69,1054
106011108,0,11,0,43,6,4,0,11,0,3,0,3,0,15,79,117,0,0,0,3,0,0,0,0,0,31,9,45,284,73,7,237,18,174,15,153,23,899,101,1988
106011109,0,8,0,34,3,0,0,3,0,3,0,0,0,8,35,54,0,0,0,3,0,0,0,0,0,8,3,20,141,46,14,92,15,94,4,71,11,289,48,824
106011110,0,3,0,42,3,0,0,0,0,9,0,0,0,13,45,65,0,0,0,4,0,0,0,0,0,13,5,23,164,58,5,166,14,107,9,80,12,419,55,1097
106011111,0,0,0,24,3,0,0,6,0,6,0,5,0,13,55,83,0,0,0,0,0,0,0,3,0,29,12,44,295,44,11,193,13,157,11,107,11,693,78,1627
106011112,0,3,0,119,0,0,0,3,0,4,0,7,0,13,96,124,3,0,0,0,0,3,0,0,0,12,5,21,323,41,5,212,17,195,12,93,20,399,104,1421
