SSC_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SSC41210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41218,0,0,0,0,0,0,4,0,4,25,28,3,57,8,0,11,65,48,0,120
SSC41219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41220,0,0,0,0,0,0,0,0,0,13,12,3,23,6,0,6,27,22,0,53
SSC41221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41222,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,5,0,0,3
SSC41223,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,3
SSC41224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41227,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,7,0,0,7
SSC41228,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,11,0,9
SSC41229,0,3,0,0,0,3,0,0,3,87,70,7,161,8,8,12,174,73,0,242
SSC41230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41231,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,4
SSC41232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41233,0,0,0,0,0,0,0,0,0,6,4,3,7,0,0,0,7,8,0,14
SSC41234,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,3,0,5
SSC41235,0,0,0,0,0,0,3,6,7,55,54,3,113,11,8,20,134,117,6,261
SSC41236,0,0,0,0,0,0,0,0,0,7,5,0,13,0,0,0,16,11,0,27
